[NN] ||| transplant ||| transplantation ||| 0-0 ||| 0.6666666666666666 ||| OtherRelated
[JJ] ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/arabic.pdf> ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/russian.pdf> ||| 0-0 ||| 0.9827586206896551 ||| Equivalence
[JJ] ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/french.pdf> ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/russian.pdf> ||| 0-0 ||| 0.9827586206896551 ||| Equivalence
[JJ] ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/french.pdf> ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/russian.pdf> ||| 0-0 ||| 0.9827586206896551 ||| Equivalence
[JJ] ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/arabic.pdf> ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/chinese.pdf> ||| 0-0 ||| 0.9827586206896551 ||| Equivalence
[JJ] ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/french.pdf> ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/english.pdf> ||| 0-0 ||| 0.9827586206896551 ||| Equivalence
[JJ] ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/russian.pdf> ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/chinese.pdf> ||| 0-0 ||| 1.0 ||| Equivalence
[JJ] ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/arabic.pdf> ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/russian.pdf> ||| 0-0 ||| 0.9827586206896551 ||| Equivalence
[JJ] ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/french.pdf> ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/chinese.pdf> ||| 0-0 ||| 0.9827586206896551 ||| Equivalence
[JJ] ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/french.pdf> ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/chinese.pdf> ||| 0-0 ||| 0.9827586206896551 ||| Equivalence
[JJ] ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/chinese.pdf> ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/russian.pdf> ||| 0-0 ||| 1.0 ||| Equivalence
[JJ] ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/arabic.pdf> ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/chinese.pdf> ||| 0-0 ||| 0.9827586206896551 ||| Equivalence
[JJ] ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/french.pdf> ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/english.pdf> ||| 0-0 ||| 0.9827586206896551 ||| Equivalence
[JJ] ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/french.pdf> ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/spanish.pdf> ||| 0-0 ||| 0.9827586206896551 ||| Equivalence
[JJ] ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/french.pdf> ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/spanish.pdf> ||| 0-0 ||| 0.9827586206896551 ||| Equivalence
[JJ] ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/russian.pdf> ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/spanish.pdf> ||| 0-0 ||| 1.0 ||| Equivalence
[JJ] ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/spanish.pdf> ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/russian.pdf> ||| 0-0 ||| 1.0 ||| Equivalence
[JJ] ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/arabic.pdf> ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/english.pdf> ||| 0-0 ||| 0.9827586206896551 ||| Equivalence
[JJ] ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/english.pdf> ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/chinese.pdf> ||| 0-0 ||| 1.0 ||| Equivalence
[JJ] ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/chinese.pdf> ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/spanish.pdf> ||| 0-0 ||| 1.0 ||| Equivalence
[JJ] ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/spanish.pdf> ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/chinese.pdf> ||| 0-0 ||| 1.0 ||| Equivalence
[JJ] ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/chinese.pdf> ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/english.pdf> ||| 0-0 ||| 1.0 ||| Equivalence
[JJ] ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/arabic.pdf> ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/spanish.pdf> ||| 0-0 ||| 0.9827586206896551 ||| Equivalence
[JJ] ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/english.pdf> ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/russian.pdf> ||| 0-0 ||| 1.0 ||| Equivalence
[JJ] ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/russian.pdf> ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/english.pdf> ||| 0-0 ||| 1.0 ||| Equivalence
[JJ] ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/arabic.pdf> ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/english.pdf> ||| 0-0 ||| 0.9827586206896551 ||| Equivalence
[JJ] ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/arabic.pdf> ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/spanish.pdf> ||| 0-0 ||| 0.9827586206896551 ||| Equivalence
[JJ] ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/english.pdf> ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/spanish.pdf> ||| 0-0 ||| 1.0 ||| Equivalence
[JJ] ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/spanish.pdf> ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/english.pdf> ||| 0-0 ||| 1.0 ||| Equivalence
[JJ] ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/french.pdf> ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/arabic.pdf> ||| 0-0 ||| 1.0 ||| Equivalence
[JJ] ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/arabic.pdf> ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/french.pdf> ||| 0-0 ||| 1.0 ||| Equivalence
[JJ] ||| non-profit ||| not-for-profit ||| 0-0 ||| 0.7142857142857143 ||| Equivalence
[JJ] ||| medieval ||| mediaeval ||| 0-0 ||| 0.8888888888888888 ||| Equivalence
[JJ] ||| muslim ||| muslims ||| 0-0 ||| 0.8571428571428571 ||| Equivalence
[JJ] ||| school-age ||| school-aged ||| 0-0 ||| 0.9090909090909091 ||| Equivalence
[NN] ||| modeling ||| modelling ||| 0-0 ||| 0.8888888888888888 ||| Equivalence
[NN] ||| modeling ||| modelling ||| 0-0 ||| 0.8888888888888888 ||| Equivalence
[JJ] ||| uganda ||| ugandan ||| 0-0 ||| 0.8571428571428571 ||| Equivalence
[JJ] ||| south-east ||| south-eastern ||| 0-0 ||| 0.7692307692307693 ||| Equivalence
[JJ] ||| tutsi ||| tutsis ||| 0-0 ||| 0.8333333333333334 ||| Equivalence
[JJ] ||| medium-size ||| medium-sized ||| 0-0 ||| 0.9166666666666666 ||| Equivalence
[JJ] ||| tutsi ||| tutsis ||| 0-0 ||| 0.8333333333333334 ||| Equivalence
[JJ] ||| hi-tech ||| high-tech ||| 0-0 ||| 0.7777777777777778 ||| Equivalence
[JJ] ||| school-age ||| school-aged ||| 0-0 ||| 0.9090909090909091 ||| Equivalence
[JJ] ||| short-stay ||| short-term ||| 0-0 ||| 1.0 ||| OtherRelated
[JJ] ||| despicable ||| contemptible ||| 0-0 ||| 0.8333333333333334 ||| OtherRelated
[NNS] ||| hundreds ||| thousands ||| 0-0 ||| 0.8888888888888888 ||| Independent
[NNS] ||| hundreds ||| thousands ||| 0-0 ||| 0.8888888888888888 ||| Independent
[NNS] ||| hundred ||| thousands ||| 0-0 ||| 0.7777777777777778 ||| Independent
[NNS] ||| hundred ||| thousands ||| 0-0 ||| 0.7777777777777778 ||| Independent
[NNS] ||| hundreds ||| thousand ||| 0-0 ||| 1.0 ||| Independent
[NNS] ||| thousand ||| hundreds ||| 0-0 ||| 1.0 ||| Independent
[NN] ||| restriction ||| limitations ||| 0-0 ||| 1.0 ||| Equivalence
[NN] ||| limitation ||| restriction ||| 0-0 ||| 0.9090909090909091 ||| Equivalence
[NN] ||| co-chair ||| co-chairman ||| 0-0 ||| 0.7272727272727273 ||| Equivalence
[JJ] ||| north-west ||| north-western ||| 0-0 ||| 0.7692307692307693 ||| Equivalence
[JJ] ||| north-east ||| north-eastern ||| 0-0 ||| 0.7692307692307693 ||| Equivalence
[JJ] ||| centre-right ||| center-right ||| 0-0 ||| 1.0 ||| Equivalence
[NN] ||| co-chair ||| co-chairman ||| 0-0 ||| 0.7272727272727273 ||| Equivalence
[JJ] ||| non-profit ||| not-for-profit ||| 0-0 ||| 0.7142857142857143 ||| Equivalence
[JJ] ||| decentralised ||| decentralized ||| 0-0 ||| 1.0 ||| Equivalence
[NN] ||| legalisation ||| legalization ||| 0-0 ||| 1.0 ||| Equivalence
[JJ] ||| south-east ||| south-eastern ||| 0-0 ||| 0.7692307692307693 ||| Equivalence
[JJ] ||| israel-palestinian ||| israeli-palestinian ||| 0-0 ||| 0.9473684210526315 ||| Equivalence
[NNS] ||| handled ||| handles ||| 0-0 ||| 1.0 ||| Equivalence
[VB] ||| mistreatment ||| ill-treatment ||| 0-0 ||| 0.9230769230769231 ||| Equivalence
[JJ] ||| single-hull ||| single-hulled ||| 0-0 ||| 0.8461538461538461 ||| Equivalence
[JJ] ||| center-right ||| centre-right ||| 0-0 ||| 1.0 ||| Equivalence
[NN] ||| decentralisation ||| decentralization ||| 0-0 ||| 1.0 ||| Equivalence
[JJ] ||| co-chair ||| co-chairman ||| 0-0 ||| 0.7272727272727273 ||| Equivalence
[JJ] ||| sq ||| square ||| 0-0 ||| 0.3333333333333333 ||| OtherRelated
[NNS] ||| audits ||| auditing ||| 0-0 ||| 0.75 ||| Equivalence
[JJ] ||| single-hull ||| single-hulled ||| 0-0 ||| 0.8461538461538461 ||| Equivalence
[JJ] ||| balanced ||| well-balanced ||| 0-0 ||| 0.6153846153846154 ||| Equivalence
[JJ] ||| marginalised ||| marginalized ||| 0-0 ||| 1.0 ||| Equivalence
[NNS] ||| guaranteed ||| guarantees ||| 0-0 ||| 1.0 ||| Equivalence
[NN] ||| aging ||| ageing ||| 0-0 ||| 0.8333333333333334 ||| Equivalence
[JJ] ||| not-so-distant ||| not-too-distant ||| 0-0 ||| 0.9333333333333333 ||| Equivalence
[JJ] ||| weapon-grade ||| weapons-grade ||| 0-0 ||| 0.9230769230769231 ||| Equivalence
[JJ] ||| out-of-school ||| extracurricular ||| 0-0 ||| 0.8666666666666667 ||| OtherRelated
[JJ] ||| full-size ||| full-sized ||| 0-0 ||| 0.9 ||| OtherRelated
[JJ] ||| not-so-distant ||| not-too-distant ||| 0-0 ||| 0.9333333333333333 ||| Equivalence
[CD] ||| 80 ||| eighty ||| 0-0 ||| 0.3333333333333333 ||| Equivalence
[JJ] ||| three-wheel ||| three-wheeled ||| 0-0 ||| 0.8461538461538461 ||| Equivalence
[VB] ||| solving ||| resolving ||| 0-0 ||| 0.7777777777777778 ||| Equivalence
[VB] ||| solve ||| resolving ||| 0-0 ||| 0.5555555555555556 ||| Equivalence
[VB] ||| solve ||| resolve ||| 0-0 ||| 0.7142857142857143 ||| Equivalence
[VB] ||| solving ||| resolve ||| 0-0 ||| 1.0 ||| Equivalence
[NNS] ||| billions ||| millions ||| 0-0 ||| 1.0 ||| Equivalence
[NNS] ||| millions ||| billions ||| 0-0 ||| 1.0 ||| Equivalence
[NNS] ||| begins ||| beginnings ||| 0-0 ||| 0.6 ||| ForwardEntailment
[JJ] ||| geometric ||| geometrical ||| 0-0 ||| 0.8181818181818182 ||| Equivalence
[VB] ||| solving ||| resolving ||| 0-0 ||| 0.7777777777777778 ||| Equivalence
[VB] ||| solve ||| resolving ||| 0-0 ||| 0.5555555555555556 ||| Equivalence
[VB] ||| solve ||| resolve ||| 0-0 ||| 0.7142857142857143 ||| Equivalence
[VB] ||| resolve ||| solving ||| 0-0 ||| 1.0 ||| Equivalence
[NN] ||| fertilisation ||| fertilization ||| 0-0 ||| 1.0 ||| Equivalence
[JJ] ||| north-east ||| north-eastern ||| 0-0 ||| 0.7692307692307693 ||| Equivalence
[NN] ||| industrialisation ||| industrialization ||| 0-0 ||| 1.0 ||| Equivalence
[NNS] ||| suspects ||| suspected ||| 0-0 ||| 0.8888888888888888 ||| OtherRelated
[NNS] ||| audits ||| auditing ||| 0-0 ||| 0.75 ||| Equivalence
[VB] ||| mistreatment ||| ill-treatment ||| 0-0 ||| 0.9230769230769231 ||| Equivalence
[JJ] ||| socio-cultural ||| social-cultural ||| 0-0 ||| 0.9333333333333333 ||| Equivalence
[NNS] ||| targets ||| targeting ||| 0-0 ||| 0.7777777777777778 ||| Equivalence
[JJ] ||| geographic ||| geographical ||| 0-0 ||| 0.8333333333333334 ||| Equivalence
[JJ] ||| hi-tech ||| high-tech ||| 0-0 ||| 0.7777777777777778 ||| Equivalence
