Tag|Longer|Shorter|Score|Ratio|Equivalence
[JJ]|seventy-eight|78|0-0|0.1538461538461538|Equivalence
[CD]|seventy-eight|78|0-0|0.1538461538461538|Equivalence
[NN]|seventy-eight|78|0-0|0.1538461538461538|Equivalence
[NN]|eighty-seven|87|0-0|0.1666666666666666|Equivalence
[NN]|tuberculosis|tb|0-0|0.1666666666666666|Equivalence
[NN]|headquarters|hq|0-0|0.1666666666666666|Equivalence
[CD]|twenty-three|23|0-0|0.1666666666666666|Equivalence
[JJ]|eighty-seven|87|0-0|0.1666666666666666|Equivalence
[JJ]|twenty-three|23|0-0|0.1666666666666666|Equivalence
[JJ]|seventy-four|74|0-0|0.1666666666666666|Equivalence
[CD]|thirty-three|33|0-0|0.1666666666666666|Equivalence
[JJ]|twenty-eight|28|0-0|0.1666666666666666|Equivalence
[NN]|twenty-seven|27|0-0|0.1666666666666666|Equivalence
[CD]|twenty-seven|27|0-0|0.1666666666666666|Equivalence
[CD]|seventy-nine|79|0-0|0.1666666666666666|Equivalence
[JJ]|seventy-nine|79|0-0|0.1666666666666666|Equivalence
[CD]|twenty-eight|28|0-0|0.1666666666666666|Equivalence
[NN]|twenty-three|23|0-0|0.1666666666666666|Equivalence
[JJ]|thirty-three|33|0-0|0.1666666666666666|Equivalence
[NN]|thirty-three|33|0-0|0.1666666666666666|Equivalence
[NN]|seventy-four|74|0-0|0.1666666666666666|Equivalence
[JJ]|twenty-seven|27|0-0|0.1666666666666666|Equivalence
[CD]|fifty-three|53|0-0|0.1818181818181818|Equivalence
[JJ]|seventy-six|76|0-0|0.1818181818181818|Equivalence
[JJ]|twenty-four|24|0-0|0.1818181818181818|Equivalence
[JJ]|ninety-four|94|0-0|0.1818181818181818|Equivalence
[NN]|thirty-four|34|0-0|0.1818181818181818|Equivalence
[JJ]|fifty-three|53|0-0|0.1818181818181818|Equivalence
[CD]|thirty-nine|39|0-0|0.1818181818181818|Equivalence
[JJ]|fifty-eight|58|0-0|0.1818181818181818|Equivalence
[CD]|fifty-eight|58|0-0|0.1818181818181818|Equivalence
[NN]|fifty-three|53|0-0|0.1818181818181818|Equivalence
[JJ]|ultraviolet|uv|0-0|0.1818181818181818|Equivalence
[JJ]|sixty-eight|68|0-0|0.1818181818181818|Equivalence
[NNP]|televisions|tv|0-0|0.1818181818181818|Equivalence
[CD]|ninety-nine|99|0-0|0.1818181818181818|Equivalence
[NN]|thirty-nine|39|0-0|0.1818181818181818|Equivalence
[CD]|thirty-four|34|0-0|0.1818181818181818|Equivalence
[NN]|sixty-eight|68|0-0|0.1818181818181818|Equivalence
[NN]|forty-three|43|0-0|0.1818181818181818|Equivalence
[NN]|seventy-six|76|0-0|0.1818181818181818|Equivalence
[JJ]|ninety-nine|99|0-0|0.1818181818181818|Equivalence
[CD]|sixty-eight|68|0-0|0.1818181818181818|Equivalence
[NN]|ultraviolet|uv|0-0|0.1818181818181818|Equivalence
[NN]|twenty-four|24|0-0|0.1818181818181818|Equivalence
[JJ]|thirty-nine|39|0-0|0.1818181818181818|Equivalence
[JJ]|forty-three|43|0-0|0.1818181818181818|Equivalence
[NN]|ninety-nine|99|0-0|0.1818181818181818|Equivalence
[JJ]|thirty-four|34|0-0|0.1818181818181818|Equivalence
[NNS]|millimeters|mm|0-0|0.1818181818181818|Equivalence
[CD]|twenty-four|24|0-0|0.1818181818181818|Equivalence
[CD]|twenty-six|26|0-0|0.2|Equivalence
[NNP]|television|tv|0-0|0.2|Equivalence
[JJ]|fifty-five|55|0-0|0.2|Equivalence
[CD]|twenty-one|21|0-0|0.2|Equivalence
[NN]|eighty-six|86|0-0|0.2|Equivalence
[CD]|thirty-six|36|0-0|0.2|Equivalence
[NN]|thirty-six|36|0-0|0.2|Equivalence
[CD]|forty-nine|49|0-0|0.2|Equivalence
[NN]|fifty-five|55|0-0|0.2|Equivalence
[JJ]|twenty-six|26|0-0|0.2|Equivalence
[JJ]|ninety-one|91|0-0|0.2|Equivalence
[CD]|forty-five|45|0-0|0.2|Equivalence
[NN]|thirty-two|32|0-0|0.2|Equivalence
[NN]|ninety-one|91|0-0|0.2|Equivalence
[NN]|sixty-nine|69|0-0|0.2|Equivalence
[JJ]|forty-nine|49|0-0|0.2|Equivalence
[JJ]|thirty-two|32|0-0|0.2|Equivalence
[JJ]|twenty-two|22|0-0|0.2|Equivalence
[NN]|forty-five|45|0-0|0.2|Equivalence
[NN]|twenty-one|21|0-0|0.2|Equivalence
[NNS]|kilometers|km|0-0|0.2|Equivalence
